method,source_id,source_pointer,comparison_group,denominator,requests,endpoint,strict_sun,meta_sun,strict_percent,meta_percent,joint_10_50_point_met,evidence,note,reconstructed,novel_unique,hull_unknown,strict_stable,meta_stable,per_repeat,verified_strict_sun,verified_meta_sun
H1-A2 historical compatibility,h1a2_exact1200_terminal,/historical_old_protocol_recomputation,H1A2_frozen_survivor1000,historical_first1000_survivors,1000,tau800,94,474,9.4,47.4,False,machine_terminal,The historical word raw denotes unadjusted rate; structures already passed model494 tau800.,,,,,,,,
"H1-A2 same frozen1000, fresh official",h1a2_exact1200_terminal,/cells/historical,H1A2_frozen_survivor1000,historical_first1000_survivors,1000,tau800,96,478,9.6,47.8,False,machine_terminal,Evaluator-only view of existing frozen1000.,1000,890,30,122,584,,,
H1-A2 exact Plan1200,h1a2_exact1200_terminal,/cells/control,H1A2_R03_exact1200,all_requested,1200,tau800,103,553,8.583333333333334,46.083333333333336,False,machine_terminal,Same archived Plan IDs and per-ordinal seed contract within this pair.,1164,1044,32,129,670,,,
R03 exact Plan1200,h1a2_exact1200_terminal,/cells/candidate,H1A2_R03_exact1200,all_requested,1200,tau800,101,559,8.416666666666666,46.583333333333336,False,machine_terminal,Same archived Plan IDs and per-ordinal seed contract within this pair.,1160,1040,30,126,675,,,
H1-A2 exact1200 survivor-prefix view,h1a2_exact1200_terminal,/historical_style_survivor_prefix1000/control,H1A2_R03_exact1200,first1000_body_successes_compatibility,1000,tau800,94,479,9.4,47.9,False,machine_terminal,Same generation as all1200; not a new run or independent estimate.,,,,,,,,
R03 exact1200 survivor-prefix view,h1a2_exact1200_terminal,/historical_style_survivor_prefix1000/candidate,H1A2_R03_exact1200,first1000_body_successes_compatibility,1000,tau800,90,488,9.0,48.8,False,machine_terminal,Same generation as all1200; not a new run or independent estimate.,,,,,,,,
H1-A2 archived256 official completion,h1a2_r03_archive256_terminal,/arms/control,archived_reproduction256_official_completion,all_requested,256,tau800,24,118,9.375,46.09375,False,machine_terminal,"Same archived generation/refinement/energy and N/U; only official hull completion. One cohort, not independent confirmation.",246,223,9,,,,,
R03 archived256 official completion,h1a2_r03_archive256_terminal,/arms/candidate,archived_reproduction256_official_completion,all_requested,256,tau800,28,128,10.9375,50.0,True,machine_terminal,"Same archived generation/refinement/energy and N/U; only official hull completion. One cohort, not independent confirmation.",248,224,9,,,,,
R03 four-process old cache,r03_four_process_official_terminal,/cell_reports[panel=R03_REFINED256_CURRENT_REPLAY]/old,R03_original_first256_process_repeat_panel,4_process_repeats_of_same256,1024,tau800,117,496,11.42578125,48.4375,False,machine_terminal,"Four CUDA realizations of the same Plan cohort, not four independent Planner samples; old/clean are views of the same structures.",,,,,,"[{""repeat"": 0, ""strict"": 28, ""meta"": 122}, {""repeat"": 1, ""strict"": 31, ""meta"": 123}, {""repeat"": 2, ""strict"": 29, ""meta"": 125}, {""repeat"": 3, ""strict"": 29, ""meta"": 126}]",,
R03 four-process clean cache,r03_four_process_official_terminal,/cell_reports[panel=R03_REFINED256_CURRENT_REPLAY]/clean,R03_original_first256_process_repeat_panel,4_process_repeats_of_same256,1024,tau800,120,500,11.71875,48.828125,False,machine_terminal,"Four CUDA realizations of the same Plan cohort, not four independent Planner samples; old/clean are views of the same structures.",,,,,,"[{""repeat"": 0, ""strict"": 28, ""meta"": 122}, {""repeat"": 1, ""strict"": 32, ""meta"": 125}, {""repeat"": 2, ""strict"": 30, ""meta"": 126}, {""repeat"": 3, ""strict"": 30, ""meta"": 127}]",,
